TIMESTAMP(ms),Heading_true(rad),Heading_est(rad),dR(m)
3294524,1.22606,1.2318,19
3295524,1.22623,1.23528,19
3296524,1.22472,1.23372,18
3297524,1.24007,1.22974,16
3298524,1.27479,1.24527,15
3299524,1.32895,1.27893,13
3300524,1.40827,1.33392,12
3301524,1.51019,1.41547,11
3302524,1.63775,1.51914,10
3303524,1.75229,1.64254,9
3304524,1.85548,1.74633,9
3305524,1.97152,1.85067,8
3306524,2.10043,1.96353,7
3307524,2.2159,2.08871,7
3308524,2.31973,2.2,6
3309524,2.38404,2.29337,5
3310524,2.45802,2.35969,5
3311524,2.51831,2.42421,4
3312524,2.54521,2.48215,2
3313524,2.55511,2.50551,1
3314524,2.55943,2.51653,1
3315524,2.56444,2.5203,0
3316524,2.57557,2.52157,0
3317524,2.57557,2.52139,0
3318524,2.58441,2.52061,0
3319524,2.54478,2.51982,0
3320524,2.54478,2.51778,0
3321525,2.54478,2.51619,0
3322525,2.54478,2.51396,0
3323525,2.54478,2.51165,0
3324525,2.54478,2.51008,0
3325525,2.54478,2.50992,0
3326525,2.54478,2.50992,0
3327525,2.54478,2.50977,0
3328525,2.54478,2.50994,0
3329525,2.54478,2.5098,0
3330525,2.54478,2.50985,0
3331525,2.54478,2.50997,0
3332525,2.54478,2.51004,0
3333525,2.54478,2.51017,0
3334525,2.54478,2.51028,0
3335525,2.54478,2.5103,0
3336525,2.54478,2.51021,0
3337525,2.54478,2.51031,0
3338525,2.54478,2.5102,0
3339525,2.54478,2.51015,0
3340525,2.54478,2.50996,0
3341525,2.54478,2.51007,0
3342525,2.54478,2.50992,0
3343525,2.54478,2.51034,0
3344525,2.54478,2.51036,0
3345525,2.54478,2.51027,0
3346525,2.54478,2.51015,0
3347525,2.54478,2.51012,0
3348525,2.54478,2.51009,0
3349525,2.54478,2.50994,0
3350525,2.54478,2.50997,0
3351525,2.54478,2.50982,0
3352525,2.54478,2.50976,0
3353525,2.54478,2.50967,0
3354525,2.54478,2.50959,0
3355525,2.54478,2.50961,0
3356525,2.54478,2.50958,0
3357525,2.54478,2.50961,0
3358525,2.54478,2.5096,0
3359525,2.54478,2.50966,0
3360525,2.54478,2.5096,0
3361525,2.54478,2.50958,0
3362525,2.54478,2.50954,0
3363525,2.54478,2.50949,0
3364525,2.54478,2.50951,0
3365525,2.54478,2.50951,0
3366525,2.54478,2.50951,0
3367525,2.54478,2.5094,0
3368525,2.54478,2.50935,0
3369525,2.54478,2.50932,0
3370525,2.54478,2.50937,0
3371525,2.54478,2.50936,0
3372525,2.54478,2.50939,0
3373525,2.54478,2.50946,0
3374525,2.54478,2.50937,0
3375525,2.54478,2.5094,0
3376525,2.54478,2.50931,0
3377525,2.54478,2.50928,0
3378525,2.54478,2.50917,0
3379525,2.54478,2.50916,0
3380525,2.54478,2.5093,0
3381525,2.54478,2.50929,0
3382525,2.54478,2.50928,0
3383525,2.54478,2.50927,0
3384525,2.54478,2.50931,0
3385525,2.54478,2.50922,0
3386525,2.54478,2.50909,0
3387525,2.54478,2.50915,0
3388525,2.54478,2.50918,0
3389525,2.54478,2.50914,0
3390525,2.54478,2.50916,0
3391525,2.54478,2.50912,0
3392525,2.54478,2.50907,0
3393525,2.54478,2.50899,0
3394525,2.54478,2.50889,0
3395525,2.54478,2.50901,0
3396525,2.54478,2.50904,0
3397525,2.54478,2.50916,0
3398525,2.54478,2.50918,0
3399525,2.54478,2.50924,0
3400525,2.54478,2.50918,0
3401525,2.54478,2.50925,0
3402525,2.54478,2.50922,0
3403525,2.54478,2.50924,0
3404525,2.54478,2.50917,0
3405525,2.54478,2.50926,0
3406525,2.54478,2.50932,0
3407526,2.54478,2.50946,0
3408526,2.54478,2.50959,0
3409526,2.54478,2.5097,0
3410526,2.54478,2.50961,0
3411526,2.54478,2.50937,0
3412526,2.54478,2.50905,0
3413526,2.54478,2.50907,0
3414526,2.54478,2.50917,0
3415526,2.54478,2.5092,0
3416526,2.55178,2.50953,0
3417526,2.55524,2.51107,1
3418526,2.5781,2.51456,1
3419526,2.57576,2.51857,1
3420526,2.57255,2.51676,2
3421526,2.5688,2.51536,2
3422526,2.56123,2.51252,2
3423526,2.57072,2.51246,2
3424526,2.57101,2.51673,2
